plotID;season;layer;o_hor;min_fr_liv;max_fr_liv;mean_fr_liv;sd_fr_liv;min_fr_dead;max_fr_dead;mean_fr_dead;sd_fr_dead;min_cr_liv;max_cr_liv;mean_cr_liv;sd_cr_liv;min_cr_dead;max_cr_dead;mean_cr_dead;sd_cr_dead;no
KBPL6;weak_rain;3;0.0000;0.0000;0.3280;0.1210;0.1160;0.0000;0.0000;0.0000;0.0000;0.0000;2.6120;0.5090;0.8870;0.0000;0.0000;0.0000;0.0000;8
KBPL6;weak_rain;4;0.0000;0.0000;0.1860;0.0440;0.0630;0.0000;0.0500;0.0060;0.0180;0.0000;3.0570;0.3930;1.0760;0.0000;0.0000;0.0000;0.0000;8
KBPL6;weak_rain;O;3.0000;0.2300;4.5920;2.4190;1.3850;0.0000;0.1470;0.0180;0.0520;0.0000;1.4140;0.4180;0.6060;0.0000;0.0000;0.0000;0.0000;8
KBPL7;strong_dry;1;0.0000;0.1100;2.3800;1.1120;1.0770;0.0000;0.0000;0.0000;0.0000;0.3030;11.3780;3.2960;5.4020;0.0000;0.0000;0.0000;0.0000;4
KBPL7;strong_dry;2;0.0000;0.2840;1.5540;0.8250;0.5800;0.0000;0.0140;0.0030;0.0070;0.0000;1.8210;0.7560;0.9090;0.0000;0.2840;0.0710;0.0000;4
KBPL7;strong_dry;3;0.0000;0.1100;0.6450;0.3200;0.2590;0.0000;0.0000;0.0000;0.0000;0.0000;7.3970;1.9700;3.6250;0.0000;0.0000;0.0000;0.0000;4
KBPL7;strong_dry;O;4.0000;0.5230;2.1420;1.1310;0.7280;0.0000;0.0000;0.0000;0.0000;0.0000;13.9810;3.6210;6.9110;0.0000;1.7700;0.4430;1.0000;4
KBPL7;weak_rain;1;0.0000;0.0470;0.7930;0.3860;0.3410;0.0000;0.3530;0.0970;0.1710;0.0000;4.1380;1.0340;2.0690;0.0000;0.0000;0.0000;0.0000;4
KBPL7;weak_rain;2;0.0000;0.0000;0.8870;0.3900;0.3870;0.0000;0.3550;0.1800;0.1520;0.0000;1.2290;0.4720;0.5920;0.0000;0.3800;0.0950;0.0000;4
KBPL7;weak_rain;3;0.0000;0.0000;0.4080;0.2050;0.1670;0.0000;0.4990;0.1450;0.2390;0.0000;0.5230;0.2960;0.2430;0.0000;0.0740;0.0190;0.0000;4
KBPL7;weak_rain;4;0.0000;0.0550;0.1980;0.1330;0.0710;0.0000;0.1570;0.0390;0.0790;0.0430;1.5990;0.4770;0.7500;0.0000;0.0540;0.0180;0.0000;4
KBPL7;weak_rain;O;4.5000;0.2200;5.9140;2.1410;2.6290;0.2200;10.3400;2.9820;4.9110;0.0000;3.4570;1.4820;1.7580;0.0000;0.0830;0.0210;0.0000;4
KBPL8;strong_dry;1;0.0000;0.3860;2.0990;1.0650;0.7580;0.0000;0.1650;0.0690;0.0700;0.0000;0.1650;0.0410;0.0830;0.0000;0.3330;0.0830;0.0000;4
KBPL8;strong_dry;2;0.0000;0.4680;1.3660;0.7750;0.4070;0.0000;0.1460;0.0580;0.0650;0.0000;12.7440;3.2620;6.3230;0.0000;9.0640;2.2660;5.0000;4
KBPL8;strong_dry;3;0.0000;0.2400;0.7710;0.4250;0.2490;0.0000;0.0880;0.0520;0.0380;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4
KBPL8;strong_dry;O;2.0000;0.5510;5.6480;4.1770;2.4250;0.0000;0.0960;0.0240;0.0480;0.0000;0.0000;0.0000;0.0000;0.0000;0.6890;0.1720;0.0000;4
KBPL8;weak_rain;1;0.0000;0.3030;0.9280;0.5190;0.2810;0.0190;0.2730;0.1710;0.1080;0.0000;0.2950;0.0740;0.1470;0.0000;0.0000;0.0000;0.0000;4
KBPL8;weak_rain;2;0.0000;0.1540;0.5790;0.2860;0.1970;0.0470;0.2670;0.1370;0.0940;0.0000;2.2480;0.6320;1.0860;0.0000;0.0000;0.0000;0.0000;4
KBPL8;weak_rain;3;0.0000;0.0000;0.3250;0.1240;0.1180;0.0000;0.0910;0.0280;0.0360;0.0000;10.7030;1.8560;4.3370;0.0000;0.0000;0.0000;0.0000;6
KBPL8;weak_rain;4;0.0000;0.0100;0.1970;0.1030;0.1320;0.0210;0.0650;0.0430;0.0310;0.0000;0.5360;0.2680;0.3790;0.0000;0.0000;0.0000;0.0000;2
KBPL8;weak_rain;O;5.8750;0.9400;15.9240;6.4610;6.6320;0.0840;1.9280;0.9110;0.9380;0.0000;0.5460;0.1370;0.2730;0.0000;0.0000;0.0000;0.0000;4
KBPL9;strong_dry;1;0.0000;0.3310;1.7520;0.9060;0.6780;0.0000;0.1100;0.0500;0.0590;0.0000;5.5870;2.6640;2.3900;0.0000;0.2200;0.0550;0.0000;4
KBPL9;strong_dry;2;0.0000;0.4680;1.3830;0.8310;0.4150;0.0000;0.0000;0.0000;0.0000;0.0000;0.9370;0.4090;0.4820;0.0000;0.0000;0.0000;0.0000;4
KBPL9;strong_dry;3;0.0000;0.3220;1.7110;0.7910;0.6290;0.0000;0.0690;0.0280;0.0340;0.9640;74.8270;20.2540;36.3980;0.0000;0.0000;0.0000;0.0000;4
KBPL9;strong_dry;O;1.0000;3.0300;7.9070;5.0760;2.1500;0.0000;1.1020;0.5990;0.4700;0.0000;2.4790;0.6200;1.2400;0.0000;8.2370;2.0590;4.0000;4
KBPL9;weak_rain;1;0.0000;0.7140;0.9060;0.8200;0.0800;0.0110;0.3420;0.1160;0.1540;0.0000;0.6780;0.3400;0.3410;0.0000;0.0000;0.0000;0.0000;4
KBPL9;weak_rain;2;0.0000;0.2670;1.2650;0.6960;0.4150;0.0190;0.0720;0.0370;0.0240;0.0000;0.7470;0.3250;0.3840;0.0000;4.9750;1.2650;2.0000;4
KBPL9;weak_rain;3;0.0000;0.0300;0.3390;0.1690;0.1300;0.0000;0.0660;0.0420;0.0300;0.0000;0.1870;0.0470;0.0940;0.0000;0.0000;0.0000;0.0000;4
KBPL9;weak_rain;4;0.0000;0.0760;0.1290;0.1140;0.0260;0.0000;0.0170;0.0060;0.0080;0.0000;0.9240;0.3680;0.4520;0.0000;0.0000;0.0000;0.0000;4
KBPL9;weak_rain;O;0.7500;0.0000;18.2930;8.5950;7.6410;0.0000;3.7190;0.9300;1.8600;0.0000;6.2810;1.5700;3.1410;0.0000;1.1020;0.2750;1.0000;4
NPL1;strong_dry;1;0.0000;0.2200;0.6610;0.4350;0.2170;0.0000;0.6610;0.2270;0.2950;0.0000;7.7630;3.1770;3.2870;0.0000;0.0000;0.0000;0.0000;8
NPL1;strong_dry;2;0.0000;0.2120;1.4790;0.7840;0.4610;0.0000;0.1240;0.0240;0.0440;0.0000;10.3030;2.8460;3.7340;0.0000;1.3440;0.3790;1.0000;8
NPL1;strong_dry;3;0.0000;0.1930;1.4350;0.6460;0.4220;0.0000;0.2370;0.0730;0.0900;0.0000;12.6670;4.1700;4.9050;0.0000;2.6720;0.4650;1.0000;8
NPL1;strong_dry;4;0.0000;0.0100;1.1060;0.2930;0.3740;0.0000;0.0610;0.0150;0.0220;0.0000;18.7380;4.8380;7.2450;0.0000;0.7410;0.0930;0.0000;8
NPL1;strong_dry;O;1.7143;2.0880;15.4520;9.2790;6.5170;0.0400;0.9430;0.4380;0.3910;1.1970;3.0500;1.9420;0.7860;0.0000;0.7800;0.1950;0.0000;8
NPL1;strong_rain;1;0.0000;0.1490;2.1050;1.0760;0.8030;0.0000;0.0000;0.0000;0.0000;2.2870;8.9290;4.8200;2.9500;0.0000;0.0000;0.0000;0.0000;4
NPL1;strong_rain;2;0.0000;0.2010;0.3030;0.2530;0.0460;0.0000;0.0000;0.0000;0.0000;0.1130;8.5320;2.6740;3.9290;0.0000;0.0000;0.0000;0.0000;4
NPL1;strong_rain;3;0.0000;0.0000;0.6940;0.2860;0.2960;0.0000;0.0000;0.0000;0.0000;0.0000;20.4310;5.8510;9.7830;0.0000;0.0000;0.0000;0.0000;4
NPL1;strong_rain;4;0.0000;0.0450;0.1240;0.0800;0.0320;0.0000;0.0000;0.0000;0.0000;0.0000;3.3180;0.8670;1.6360;0.0000;0.0000;0.0000;0.0000;4
NPL1;strong_rain;O;0.0000;4.9680;14.2430;8.9240;3.9910;0.0000;0.0000;0.0000;0.0000;0.0000;5.0280;2.9790;2.1950;0.0000;0.8430;0.2110;0.0000;4
NPL1;weak_dry;1;0.0000;0.3030;1.1430;0.6630;0.3890;0.0000;0.0000;0.0000;0.0000;0.0000;5.6090;3.7660;2.6190;0.0000;0.0000;0.0000;0.0000;4
NPL1;weak_dry;2;0.0000;0.3140;2.0770;0.8800;0.8240;0.0000;0.0000;0.0000;0.0000;1.5680;13.3970;8.2880;4.9250;0.0000;0.0000;0.0000;0.0000;4
NPL1;weak_dry;3;0.0000;0.1380;0.4330;0.2710;0.1290;0.0000;0.0000;0.0000;0.0000;0.1820;18.6650;6.5270;8.6960;0.0000;0.6230;0.1560;0.0000;4
