plotID;subplotID;sample_date;no_cores;layer;o_hor;fr_liv;fr_dead;cr_liv;cr_dead;dens_fr_liv;dens_fr_dead;dens_cr_liv;dens_cr_dead;;interval
NPL12;C;20.12.2019;1;3;0;0;0;0;0;0;0;0;0;;85
NPL4;C;10.09.2018;1;3;0;0;0;0;0;0;0;0;0;;0
NPL2;B;25.09.2019;1;2;0;0;0;0;0;0;0;0;0;;90
NPL10;B;16.03.2019;1;3;0;0;0;0;0;0;0;0;0;;95
UPL9;D;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL10;C;20.12.2019;1;3;0;0;0;0.157;0;0;0;0.433;0;;85
NPL12;B;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
UPL1;B;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
NPL7;B;25.09.2019;1;3;0;0;0;0.425;0;0;0;1.171;0;;90
NPL2;A;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
UPL11;A;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL10;C;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
NPL12;A;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
UPL2;C;22.03.2019;1;O;3;0;0.016;0;0;0;0.147;0;0;;107
NPL10;D;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
UPL7;A;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
KBPL12;A;03.12.2018;1;4;0;0;0;0;0;0;0;0;0;;86
NPL9;B;25.09.2019;1;3;0;0;0;17.903;0;0;0;49.322;0;;90
NPL4;C;20.12.2019;1;3;0;0;0;6.984;0;0;0;19.241;0;;85
NPL8;C;25.09.2019;1;3;0;0;0;0;5.469;0;0;0;15.067;;90
NPL7;A;25.09.2019;1;3;0;0;0;0.352;0;0;0;0.97;0;;90
NPL9;B;24.06.2019;1;2;0;0;0;0.935;0;0;0;2.576;0;;98
UPL5;C;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
UPL3;A;22.03.2019;1;1;0;0;0.029;0;0;0;0.08;0;0;;107
UPL9;C;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL3;C;17.12.2019;1;4;0;0;0;0;0;0;0;0;0;;77
KBPL14;C;19.12.2019;1;2;0;0;0.06;0;0;0;0.165;0;0;;90
UPL8;A;29.09.2019;1;4;0;0;0;0;0;0;0;0;0;;80
UPL2;D;29.09.2019;1;1;0;0;0;0.66;0;0;0;1.818;0;;80
UPL5;A;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL4;D;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
UPL5;A;29.09.2019;1;O;0;0;0;0;0;0;0;0;0;;80
